,,,,,Goalie Stats,,,,,,,,,,,,,,,,,,,Scoring,,,,
Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
1,Connor Hellebuyck,31,WPG,G,43,43,34,7,2,89,1188,1099,0.925,2.06,6,2586:33:00,33,0.767,2,76,27.8,2.2,10.1,0,1,1,0,
2,Andrei Vasilevskiy,30,TBL,G,43,43,25,15,3,98,1195,1097,0.918,2.32,3,2538:39:00,28,0.651,5,83,19.5,2.48,9.3,0,2,2,6,
3,Sam Montembeault,28,MTL,G,42,40,18,21,3,116,1123,1007,0.897,3,3,2323:37:00,19,0.475,11,105,-5.6,3.23,6.2,0,0,0,0,
4,Juuse Saros,29,NSH,G,41,41,11,23,6,116,1136,1020,0.898,2.95,4,2360:08:00,20,0.488,7,104,-4.3,3.18,6.4,0,1,1,4,
5,Mackenzie Blackwood,28,2TM,G,41,38,20,15,5,98,1163,1065,0.916,2.53,3,2327:35:00,23,0.605,4,86,16.3,2.71,8.7,0,0,0,0,
6,Mackenzie Blackwood,28,SJS,G,19,17,6,9,3,53,583,530,0.909,3,1,1058:33:00,8,0.471,4,92,4.3,3.23,4,0,0,0,0,
7,Mackenzie Blackwood,28,COL,G,22,21,14,6,2,45,580,535,0.922,2.13,2,1269:02:00,15,0.714,0,79,12,2.27,4.8,0,0,0,0,
8,Jake Oettinger,26,DAL,G,40,40,26,12,2,92,1037,945,0.911,2.35,1,2348:35:00,25,0.625,8,90,9.9,2.53,7.3,0,1,1,0,
9,Ilya Sorokin,29,NYI,G,40,39,20,16,4,103,1106,1003,0.907,2.69,3,2299:03:00,24,0.615,7,95,5.7,2.9,7.3,0,0,0,2,
10,Jeremy Swayman,26,BOS,G,40,40,18,18,4,117,1150,1033,0.898,2.98,3,2357:17:00,20,0.5,7,104,-4,3.21,6.5,0,0,0,0,
11,Jordan Binnington,31,STL,G,39,38,15,19,4,108,1044,936,0.897,2.89,3,2245:11:00,20,0.526,8,105,-5.4,3.1,5.7,0,0,0,2,
12,Ukko-Pekka Luukkonen,25,BUF,G,39,39,18,16,4,114,1082,968,0.895,3.02,2,2262:09:00,20,0.513,10,107,-7.6,3.26,5.7,0,1,1,0,
13,Igor Shesterkin,29,NYR,G,39,39,18,19,2,107,1135,1028,0.906,2.87,3,2237:09:00,23,0.59,10,96,4.6,3.08,7.3,0,0,0,4,
14,Joey Daccord,28,SEA,G,38,36,19,14,3,92,1087,995,0.915,2.49,1,2216:07:00,23,0.639,2,86,14.8,2.68,8.1,0,2,2,0,
15,Sergei Bobrovsky,36,FLA,G,37,37,23,12,2,97,994,897,0.902,2.66,2,2184:18:00,22,0.595,9,99,0.7,2.86,6.1,0,0,0,0,
