,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
1,Nathan MacKinnon,29,COL,C,57,21,66,87,19,29,16,5,0,3,45,21,0,227,9.3,421,1313:58:00,23:03,521,538,49.2,47,29,20,85,
2,Leon Draisaitl,29,EDM,C,55,40,43,83,27,20,29,11,0,9,31,12,0,187,21.4,319,1196:14:00,21:45,527,438,54.6,20,14,26,66,
3,Nikita Kucherov,31,TBL,RW,52,25,57,82,12,35,21,4,0,6,29,28,0,179,14,372,1132:45:00,21:47,0,1,0,20,19,19,88,
4,Mitch Marner,27,TOR,RW,54,16,55,71,9,12,10,5,1,5,35,19,1,125,12.8,283,1163:25:00,21:33,4,12,25,25,32,39,75,
5,Connor McDavid,28,EDM,C,49,22,49,71,10,29,14,8,0,3,34,15,0,155,14.2,282,1087:46:00,22:12,269,293,47.9,9,29,20,58,
6,Kyle Connor,28,WPG,LW,56,30,39,69,8,21,19,9,2,6,25,14,0,177,16.9,316,1124:03:00,20:04,1,7,12.5,34,11,23,58,
7,Jack Eichel,28,VEG,C,55,19,50,69,29,6,15,3,1,1,29,20,1,174,10.9,312,1160:15:00,21:06,410,479,46.1,37,19,22,60,
8,David Pastrňák,28,BOS,RW,57,28,40,68,0,30,22,6,0,4,31,9,0,230,12.2,442,1140:53:00,20:01,3,4,42.9,12,37,30,81,
9,Mikko Rantanen,28,2TM,RW,55,26,40,66,13,32,18,8,0,5,29,11,0,156,16.7,327,1220:30:00,22:11,122,108,53,34,31,26,53,
10,Mikko Rantanen,28,COL,RW,49,25,39,64,12,28,17,8,0,5,28,11,0,135,18.5,287,1102:25:00,22:30,121,106,53.3,32,28,22,48,
11,Mikko Rantanen,28,CAR,RW,6,1,1,2,1,4,1,0,0,0,1,0,0,21,4.8,40,118:05:00,19:41,1,2,33.3,2,3,4,5,
12,Jack Hughes,23,NJD,C,57,24,41,65,11,12,18,5,1,7,19,21,1,206,11.7,430,1191:24:00,20:54,229,385,37.3,26,7,21,79,
13,Jesper Bratt,26,NJD,W,57,17,47,64,9,14,12,4,1,1,26,20,1,129,13.2,272,1074:40:00,18:51,0,3,0,29,61,9,41,
14,Martin Nečas,26,2TM,C,57,20,44,64,5,12,12,8,0,7,28,16,0,142,14.1,294,1070:30:00,18:47,48,78,38.1,19,47,18,64,
15,Martin Nečas,26,CAR,C,49,16,39,55,4,10,9,7,0,5,24,15,0,113,14.2,233,886:03:00,18:05,48,78,38.1,16,40,15,52,
16,Martin Nečas,26,COL,C,8,4,5,9,1,2,3,1,0,2,4,1,0,29,13.8,61,184:27:00,23:03,0,0,,3,7,3,12,
17,Cale Makar,26,COL,D,57,22,41,63,18,12,11,9,2,3,24,17,0,175,12.6,430,1471:31:00,25:49:00,0,0,,91,41,46,74,
18,Mark Scheifele,31,WPG,C,56,31,32,63,5,41,22,9,0,8,21,11,0,123,25.2,233,1134:36:00,20:16,402,425,48.6,44,44,17,73,
19,Brandon Hagel,26,TBL,LW,55,26,36,62,24,40,24,0,2,3,25,7,4,159,16.4,310,1169:14:00,21:16,7,15,31.8,42,43,20,72,
20,Sam Reinhart,29,FLA,C,57,31,31,62,12,27,17,9,5,3,19,11,1,149,20.8,281,1157:26:00,20:18,157,231,40.5,49,69,17,47,
21,Travis Konecny,27,PHI,C,57,22,39,61,-3,45,13,8,1,3,31,6,2,128,17.2,268,1180:37:00,20:43,23,46,33.3,29,71,22,56,
22,Clayton Keller,26,UTA,C,55,20,40,60,-7,16,14,6,0,4,22,18,0,147,13.6,307,1060:25:00,19:17,9,20,31,20,8,19,55,
23,Quinn Hughes,25,VAN,D,47,14,45,59,15,27,11,3,0,3,26,19,0,136,10.3,354,1189:20:00,25:18:00,0,0,,44,7,19,58,
24,Lucas Raymond,22,DET,LW,55,21,38,59,-2,16,15,5,1,3,17,21,0,129,16.3,260,1042:05:00,18:57,0,3,0,26,26,19,52,
25,Zach Werenski,27,CBJ,D,55,17,42,59,10,29,12,5,0,4,26,14,2,203,8.4,418,1478:13:00,26:53:00,0,0,,93,13,31,81,
26,Sidney Crosby,37,PIT,C,55,17,41,58,-15,21,11,6,0,5,30,11,0,156,10.9,301,1119:38:00,20:21,702,549,56.1,31,52,19,57,
27,Brayden Point,28,TBL,C,50,31,27,58,5,2,18,13,0,6,17,10,0,129,24,238,985:11:00,19:42,297,291,50.5,27,18,11,23,
28,Artemi Panarin,33,NYR,LW,53,23,34,57,-7,16,15,8,0,1,23,11,0,161,14.3,396,1049:25:00,19:48,0,1,0,8,14,12,68,
29,Matthew Tkachuk,27,FLA,LW,52,22,35,57,-3,54,11,11,0,2,23,12,0,156,14.1,316,948:02:00,18:14,1,4,20,12,84,10,47,
30,Tim Stützle,23,OTT,LW,56,17,39,56,2,28,14,3,0,0,20,19,0,111,15.3,221,1114:05:00,19:54,102,142,41.8,32,86,16,45,
31,Sebastian Aho,27,CAR,F,55,20,35,55,2,36,16,2,2,6,18,15,2,148,13.5,320,1109:40:00,20:11,479,382,55.6,23,43,13,65,
32,Matt Duchene,34,DAL,C,55,22,33,55,12,6,16,6,0,5,22,11,0,101,21.8,198,953:41:00,17:20,281,235,54.5,12,20,16,47,
33,Kirill Marchenko,24,CBJ,RW,53,21,34,55,31,12,19,2,0,2,20,14,0,144,14.6,296,996:04:00,18:48,11,24,31.4,26,39,26,61,
34,William Nylander,28,TOR,C,55,33,22,55,0,14,25,8,0,7,9,13,0,186,17.7,325,1090:11:00,19:49,65,71,47.8,15,8,21,52,
35,Jake Guentzel,30,TBL,C,54,27,27,54,8,16,14,13,0,2,21,6,0,145,18.6,235,1081:23:00,20:02,128,141,47.6,40,19,20,52,
36,Dylan Strome,27,WSH,C,55,16,38,54,11,22,11,5,0,2,21,17,0,99,16.2,177,967:51:00,17:36,487,381,56.1,40,15,16,46,
37,Filip Forsberg,30,NSH,C,54,21,32,53,-13,28,14,7,0,2,21,11,0,195,10.8,418,1013:19:00,18:46,1,8,11.1,33,110,30,80,
38,Aleksander Barkov,29,FLA,C,47,14,38,52,2,12,7,6,1,2,21,14,3,106,13.2,221,953:55:00,20:18,428,293,59.4,44,55,19,28,
39,Kirill Kaprizov,27,MIN,LW,37,23,29,52,19,14,20,3,0,4,20,9,0,128,18,271,829:18:00,22:25,0,2,0,15,12,10,52,
40,Nick Suzuki,25,MTL,C,56,15,37,52,3,6,13,2,0,5,23,14,0,114,13.2,220,1093:51:00,19:32,430,417,50.8,46,44,23,54,
41,Jason Robertson,25,DAL,LW,55,20,31,51,4,10,14,6,0,3,24,7,0,149,13.4,297,981:59:00,17:51,6,11,35.3,31,38,18,58,
42,Gabriel Vilardi,25,WPG,C,56,24,27,51,5,12,13,11,0,5,16,11,0,106,22.6,187,1008:10:00,18:00,68,68,50,40,11,20,30,
43,Dylan Larkin,28,DET,C,55,23,27,50,-1,34,11,12,0,2,20,7,0,178,12.9,347,1102:19:00,20:03,610,481,55.9,17,25,27,57,
44,Connor Bedard,19,CHI,C,55,16,33,49,-22,30,9,7,0,4,17,16,0,130,12.3,273,1105:53:00,20:06,155,284,35.3,29,28,17,53,
45,Cole Caufield,24,MTL,RW,56,26,23,49,-4,14,18,8,0,4,19,4,0,171,15.2,303,1002:08:00,17:54,2,5,28.6,21,43,14,43,
