,,,,,,,,,,,,,,,Per_game,,Special Teams,,,,,,,,,,Shot Data,,,,
Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Winnipeg Jets,29.4,56,39,14,3,81,0.723,202,134,0,0,1.14,-0.08,3.61,2.39,51,153,33.33,29,143,79.72,4,2,7.8,8.7,1586,12.7,1575,0.915,7
2,Washington Capitals,29.2,55,36,11,8,80,0.727,196,137,0,3,1.02,0.01,3.56,2.49,36,155,23.23,28,161,82.61,4,6,8,7.9,1512,13,1518,0.91,3
3,Dallas Stars,28.2,55,35,18,2,72,0.655,180,138,2,1,0.72,-0.06,3.27,2.51,32,163,19.63,22,147,85.03,4,4,6.5,7.5,1648,10.9,1482,0.907,3
4,Edmonton Oilers,30.4,55,34,17,4,72,0.655,182,151,0,1,0.47,-0.08,3.31,2.75,35,140,25,31,127,75.59,2,3,6.9,7.8,1795,10.1,1471,0.897,3
5,Vegas Golden Knights,29.1,56,33,17,6,72,0.643,184,153,1,2,0.54,0,3.29,2.73,37,132,28.03,27,116,76.72,5,3,5.4,6,1728,10.6,1480,0.897,3
6,Florida Panthers,29.3,57,34,20,3,71,0.623,188,165,4,0,0.49,0.01,3.3,2.89,41,168,24.4,35,169,79.29,12,8,9.8,9.6,1819,10.3,1553,0.894,4
7,Carolina Hurricanes,29.4,56,33,19,4,70,0.625,184,152,0,2,0.57,0.04,3.29,2.71,33,165,20,25,165,84.85,7,2,7,7.3,1786,10.3,1415,0.893,4
8,Minnesota Wild,29.4,56,33,19,4,70,0.625,161,157,2,2,0.06,-0.01,2.88,2.8,27,143,18.88,40,141,71.63,3,4,7.9,8,1555,10.4,1689,0.907,4
9,Toronto Maple Leafs,29.2,55,33,20,2,68,0.618,169,156,0,0,0.29,0.05,3.07,2.84,35,151,23.18,33,164,79.88,4,5,7.7,7.4,1581,10.7,1593,0.902,2
10,Colorado Avalanche,28.3,57,33,22,2,68,0.596,185,173,1,1,0.24,0.03,3.25,3.04,36,169,21.3,30,147,79.59,4,4,7.1,7.5,1677,11,1514,0.886,3
11,New Jersey Devils,29.5,57,31,20,6,68,0.596,174,141,1,1,0.58,0,3.05,2.47,44,160,27.5,25,158,84.18,5,3,9.1,8.4,1654,10.5,1496,0.906,7
12,Tampa Bay Lightning,29.5,55,31,20,4,66,0.6,196,152,1,1,0.79,-0.01,3.56,2.76,42,156,26.92,27,140,80.71,9,8,8.4,9.2,1597,12.3,1578,0.904,4
13,Los Angeles Kings,29,53,29,17,7,65,0.613,150,134,1,2,0.24,-0.04,2.83,2.53,18,123,14.63,26,153,83.01,2,3,8.1,7.4,1484,10.1,1352,0.901,2
14,Vancouver Canucks,28.7,55,26,18,11,63,0.573,154,165,1,1,-0.25,-0.05,2.8,3,35,153,22.88,30,157,80.89,2,5,9.7,9.3,1403,11,1484,0.889,5
15,Ottawa Senators,27.9,56,29,23,4,62,0.554,157,155,1,1,0.08,0.04,2.8,2.77,43,184,23.37,36,165,78.18,8,2,8.9,10,1665,9.4,1566,0.901,8
16,Detroit Red Wings,29.3,55,28,22,5,61,0.555,157,171,3,0,-0.28,-0.08,2.85,3.11,45,161,27.95,40,132,69.7,2,4,6,7,1478,10.6,1602,0.893,3
17,Boston Bruins,28.3,57,27,24,6,60,0.526,157,181,0,1,-0.38,0.05,2.75,3.18,25,172,14.53,44,179,75.42,5,8,10.8,9.8,1549,10.1,1637,0.889,6
18,Calgary Flames,28.3,55,26,21,8,60,0.545,145,164,3,1,-0.36,-0.05,2.64,2.98,35,157,22.29,45,161,72.05,5,6,10.6,10.3,1608,9,1607,0.898,4
19,Columbus Blue Jackets,27.4,56,26,22,8,60,0.536,180,185,4,1,-0.05,-0.02,3.21,3.3,28,133,21.05,37,150,75.33,7,3,8,7.1,1623,11.1,1645,0.888,2
20,New York Rangers,28.8,55,27,24,4,58,0.527,164,168,1,0,-0.06,-0.01,2.98,3.05,29,141,20.57,29,163,82.21,9,3,8.5,7.7,1631,10.1,1669,0.899,5
21,New York Islanders,29.6,55,25,23,7,57,0.518,150,161,2,1,-0.21,-0.02,2.73,2.93,15,130,11.54,34,116,70.69,5,3,5.7,6,1585,9.5,1567,0.897,3
22,Utah Hockey Club,27.5,56,24,23,9,57,0.509,157,168,1,2,-0.19,0.02,2.8,3,35,156,22.44,32,170,81.18,2,5,9.7,9.6,1572,10,1594,0.895,2
23,Philadelphia Flyers,26.8,57,24,26,7,55,0.482,159,189,3,3,-0.52,0.01,2.79,3.32,24,152,15.79,31,144,78.47,3,5,8.1,8.2,1534,10.4,1541,0.877,3
24,Pittsburgh Penguins,30.8,57,23,25,9,55,0.482,163,196,1,5,-0.63,0.02,2.86,3.44,40,161,24.84,31,152,79.61,3,3,7.1,7.9,1629,10,1726,0.886,1
25,St. Louis Blues,29.2,56,25,26,5,55,0.491,151,171,3,0,-0.28,0.02,2.7,3.05,24,126,19.05,39,136,71.32,2,4,7.4,7.1,1505,10,1602,0.893,4
26,Montreal Canadiens,26.7,56,25,26,5,55,0.491,161,192,2,2,-0.48,0.08,2.88,3.43,34,164,20.73,34,186,81.72,7,6,9.4,8.1,1458,11,1634,0.882,4
27,Anaheim Ducks,27.6,54,24,24,6,54,0.5,134,163,3,2,-0.47,0.05,2.48,3.02,18,149,12.08,38,151,74.83,1,4,8.5,8,1510,8.9,1740,0.906,1
